搜索关键词: 运维开发工程师
捕获数量: 150
更新时间: 13:35:39
----------------------------------------------------------------------
[  1] 云原生运维开发工程师                          | 40-60K·15薪   | 某大型互联网公司             | 北京
[  2] 运维开发工程师 -Q6240W                     | 20-40K·16薪   | 京东科技集团               | 北京
[  3] 运维开发工程师                             | 30-60K·16薪   | 高德地图                 | 北京
[  4] k8s运维开发工程师                          | 15-18K       | 卓越耐特                 | 北京 昌平区
[  5] 运维开发工程师                             | 35-55K·16薪   | 某基金公司                | 北京
[  6] 运维开发工程师                             | 12-20K       | 会当家                  | 北京 昌平区
[  7] 运维开发工程师                             | 350-500元/天   | 京东零售                 | 北京 通州区
[  8] 高级运维开发工程师                           | 12-17K       | 有点牛企业管理咨询            | 北京 朝阳区
[  9] 运维开发工程师                             | 10-14K       | 光宇游戏                 | 北京
[ 10] 运维开发工程师                             | 35-60K·18薪   | 某大型基金公司              | 北京
[ 11] 运维开发工程师                             | 15-20K       | 睿知轩                  | 北京 朝阳区
[ 12] 数据系统 SRE 运维开发工程师 - 国际化广告            | 30-60K·15薪   | 字节跳动                 | 北京
[ 13] 运维开发工程师                             | 10-15K       | 冠证信息                 | 北京 西城区
[ 14] 运维开发工程师                             | 8-11K        | 安信创业                 | 北京 朝阳区
[ 15] 运维开发工程师                             | 10-15K·13薪   | 博思数采                 | 北京 西城区
[ 16] 运维开发工程师                             | 10-15K       | 鹰瞳                   | 北京
[ 17] 运维开发工程师                             | 20-30K·15薪   | 微吼直播                 | 北京 朝阳区
[ 18] 运维开发工程师                             | 11-15K       | 华苏科技                 | 北京 丰台区
[ 19] 运维开发工程师                             | 13-17K       | 新纽科技                 | 北京 通州区
[ 20] 运维开发工程师                             | 19-22K       | 天一恩华                 | 北京
[ 21] 【2026届春招】运维开发工程师 (MJ003164)         | 14-16K·14薪   | 搜狐畅游                 | 北京
[ 22] 运维开发工程师（Base保定）                     | 15-30K·14薪   | 长城汽车                 | 北京 大兴区
[ 23] agent运维开发工程师（SRE）                   | 14-25K·14薪   | 北京某大型互联网公司           | 北京
[ 24] 运维开发工程师（DevOps）                     | 12-20K       | 句子互动                 | 北京
[ 25] 运维开发工程师                             | 20-35K·16薪   | 百度                   | 北京
[ 26] 运维开发工程师                             | 20-30K       | 平方和投资                | 北京 海淀区
[ 27] 运维开发工程师                             | 15-25K·15薪   | 最右                   | 北京 海淀区
[ 28] 高级sre运维工程师                          | 350-500元/天   | 京东集团                 | 北京
[ 29] 小程序运维开发工程师                          | 20-25K·13薪   | 北京开源未来科技...          | 北京 通州区
[ 30] devops运维开发工程师                       | 15-25K       | 某大型知名互联网公司           | 北京
[ 31] 运维开发工程师                             | 12-24K       | 博云视觉                 | 北京 海淀区
[ 32] 运维开发工程师                             | 6-11K        | 博亚思                  | 北京 海淀区
[ 33] 运维开发工程师                             | 25-40K·16薪   | 云账户                  | 北京 朝阳区
[ 34] 高级开发运维工程师                           | 10-14K       | 久胜科技                 | 北京 东城区
[ 35] 运维开发工程师                             | 40-70K·16薪   | 北京某中型互联网科技公司，获得头部资本支持 | 北京
[ 36] 小程序运维开发工程师                          | 300-400元/天   | 河北音律跃动体育科技           | 北京 朝阳区
[ 37] 运维开发工程师                             | 11-13K·17薪   | 指南针公司                | 北京 昌平区
[ 38] 运维开发工程师 (MJ000044)                  | 20-30K·15薪   | 泰尔英福科技有限公司           | 北京 海淀区
[ 39] 运维开发工程师（SRE）北京                      | 20-35K·16薪   | 中信证券                 | 北京 朝阳区
[ 40] Salesforce 运维开发工程师                  | 20-30K·15薪   | 某大型上市医药集团            | 北京
[ 41] 运维开发工程师                             | 12-20K       | 数列科技                 | 北京 西城区
[ 42] 后端/运维开发工程师                          | 7-11K        | 翔睿信诚                 | 北京 朝阳区
[ 43] 运维开发工程师(AI方向)                       | 13-16K       | 欢网科技                 | 北京 朝阳区
[ 44] 运维开发工程师                             | 10-15K       | 德特赛维                 | 北京 西城区
[ 45] 运维开发工程师（大模型方向）                      | 30-55K       | 九坤投资                 | 北京 海淀区
[ 46] 运维开发工程师（大模型方向）                      | 40-60K·16薪   | 某互联网公司               | 北京
[ 47] 运维开发工程师                             | 12-15K       | 广州中钦科技服务             | 北京 昌平区
[ 48] k8s运维开发工程师                          | 20-35K·16薪   | 北京趋境科技               | 北京 海淀区
[ 49] 运维开发工程师（反馈快！）                       | 20-25K       | 广州如是纵横信息...          | 北京 海淀区
[ 50] 运维开发工程师                             | 12-17K       | 北京南天软件有限公司           | 北京 海淀区
[ 51] 运维开发工程师                             | 8-13K        | 磁频方程                 | 北京 丰台区
[ 52] 资深运维开发工程师(接入层方向)                    | 55-70K·16薪   | Web3.x               | 北京
[ 53] 运维开发工程师                             | 7000-15000元/ | 云新信息                 | 北京 朝阳区
[ 54] Kubernetes 运维开发工程师｜AI / GPU 方向      | 40-60K       | 杭州赛纳博管理咨询            | 北京 朝阳区
[ 55] 运维开发工程师                             | 13-23K·15薪   | 中移雄安                 | 北京 西城区
[ 56] 运维开发工程师                             | 10-15K       | 麦麦科技                 | 北京 西城区
[ 57] 运维开发工程师-头部私募                        | 30-60K       | 某大型基金公司              | 北京
[ 58] 运维开发工程师                             | 20-30K·14薪   | 小宿科技                 | 北京 朝阳区
[ 59] 运维开发工程师                             | 8-11K·13薪    | 中科院信工所               | 北京 海淀区
[ 60] 运维开发工程师                             | 9-10K        | 三菲科技                 | 北京 朝阳区
[ 61] 运维开发工程师                             | 9-13K        | 中路港                  | 北京 朝阳区
[ 62] 运维开发工程师                             | 11-14K       | 鑫达软件                 | 北京 西城区
[ 63] 运维开发工程师                             | 10-15K·13薪   | 智睿投研                 | 北京 东城区
[ 64] 【急招】运维开发工程师（SRE）(A144991)           | 24-45K·14薪   | A4x积加科技              | 北京 海淀区
